id,app,name,applied
1,contenttypes,0001_initial,2025-02-12 03:32:06.889822
2,auth,0001_initial,2025-02-12 03:32:06.918971
3,admin,0001_initial,2025-02-12 03:32:06.941981
4,admin,0002_logentry_remove_auto_add,2025-02-12 03:32:06.960574
5,admin,0003_logentry_add_action_flag_choices,2025-02-12 03:32:06.974090
6,contenttypes,0002_remove_content_type_name,2025-02-12 03:32:07.004318
7,auth,0002_alter_permission_name_max_length,2025-02-12 03:32:07.028308
8,auth,0003_alter_user_email_max_length,2025-02-12 03:32:07.045880
9,auth,0004_alter_user_username_opts,2025-02-12 03:32:07.058766
10,auth,0005_alter_user_last_login_null,2025-02-12 03:32:07.077203
11,auth,0006_require_contenttypes_0002,2025-02-12 03:32:07.081243
12,auth,0007_alter_validators_add_error_messages,2025-02-12 03:32:07.096111
13,auth,0008_alter_user_username_max_length,2025-02-12 03:32:07.114404
14,auth,0009_alter_user_last_name_max_length,2025-02-12 03:32:07.137890
15,auth,0010_alter_group_name_max_length,2025-02-12 03:32:07.155356
16,auth,0011_update_proxy_permissions,2025-02-12 03:32:07.165985
17,auth,0012_alter_user_first_name_max_length,2025-02-12 03:32:07.188788
18,material,0001_initial,2025-02-12 03:32:07.213677
19,sessions,0001_initial,2025-02-12 03:32:07.228491
20,material,0002_alter_material_title,2025-02-14 01:50:51.017331
21,material,0003_exam_created_by_alter_material_title,2025-02-14 15:08:23.921054
22,material,0004_material_uploaded_by,2025-02-14 16:45:36.483214
23,material,0005_profile,2025-02-14 22:39:32.697337
24,material,0006_question_chapter,2025-02-15 22:56:40.767940
25,material,0007_examtemplate,2025-03-15 16:02:55.601911
26,material,0002_add_nombre_field,2025-03-25 01:00:03.547842
