facultad,carrera,numero de materia,materia,año de cursada,cuatrimestre de cursada
Tecnología Informática,Analista Programador,1,Programación Estructurada,1° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,2,Sistemas de Computación I,1° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,3,Laboratorio de Cálculo,1° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,4,Inglés I,1° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,5,Sistemas de Computación II,1° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,6,Cálculo Infinitesimal,1° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,7,Inglés II,1° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,8,Programación I,1° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,9,Programación Orientada a Objetos,2° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,10,Metodología de Desarrollo de Sistemas I,2° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,11,Arquitectura de Sistemas Operativos,2° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,12,Problemática del Mundo Actual,2° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,13,Tecnología de las Comunicaciones,2° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,14,Lenguajes de Última Generación,2° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,15,Metodología de Desarrollo de Sistemas II,2° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,16,Base de Datos,2° Año,2° Cuatrimestre
Tecnología Informática,Analista Programador,17,Probabilidad y Estadística,3° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,18,Programación II,3° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,19,Teleinformática y Comunicaciones,3° Año,1° Cuatrimestre
Tecnología Informática,Analista Programador,20,Trabajo Final,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,1,Introducción a los Algoritmos y la Programación,1° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,2,Arquitectura de Computadoras I,1° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,3,Álgebra y Geometría Analítica,1° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,4,Problemática del Mundo Actual,1° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,5,Inglés I,1° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,6,Arquitectura de Computadoras II,1° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,7,Cálculo Infinitesimal I,1° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,8,Historia de la Ciencia y de la Técnica,1° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,9,Inglés II,1° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,10,Programación y Estructuras de Datos,1° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,11,Programación Orientada a Objetos,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,12,Análisis y Diseño de Sistemas I,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,13,Cálculo Infinitesimal II,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,14,Inglés III,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,15,Sistemas Operativos,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,16,Análisis de Procesos Administrativos,2° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,17,Análisis y Diseño de Sistemas II,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,18,Física I,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,19,Probabilidad y Estadística,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,20,Inglés IV,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,21,Ingeniería de Requerimientos,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,22,Desarrollo y Arquitectura de Software,2° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,23,Análisis y Diseño de Sistemas III,3° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,24,Base de Datos,3° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,25,Tecnología de las Comunicaciones I,3° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,26,Física II,3° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,27,Ingeniería de Software,3° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,28,Experiencias Formativas Obligatorias de Carácter Electivo I,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,29,Tecnología de las Comunicaciones II,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,30,Matemática Discreta y Autómatas,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,31,Bases de Datos Aplicada,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,32,Trabajo de Diploma,3° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,33,Metodologías Ágiles,4° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,34,Organización y Gestión Empresaria,4° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,35,Bases de Datos Avanzada,4° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,36,Desarrollo y Arquitecturas Web,4° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,37,Experiencias Formativas Obligatorias de Carácter Electivo II,4° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,38,Administración de Proyectos,4° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,39,Planificación Estratégica,4° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,40,Inteligencia Artificial,4° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,41,Metodologías y Desarrollos Web,4° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,42,Electromagnetismo I,4° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,43,Sistema de Hardware,5° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,44,Modelización Numérica,5° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,45,Electromagnetismo II,5° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,46,Práctica Profesional Supervisada,5° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,47,Seminario de Trabajo Final de Ingeniería,5° Año,1° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,48,Auditoría de Sistemas,5° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,49,Redes y Teleprocesamiento,5° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,50,Seguridad Informática,5° Año,2° Cuatrimestre
Tecnología Informática,Ingeniería en Sistemas Informáticos,51,Trabajo Final de Ingeniería,5° Año,2° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,1,Programación Estructurada,1° Año,1° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,2,Lógica,1° Año,1° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,3,Inglés I,1° Año,1° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,4,Problemática del Mundo Actual,1° Año,1° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,5,Análisis de Procesos Administrativos,1° Año,1° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,6,Sistemas de Computación I,1° Año,2° Cuatrimestre
Tecnología Informática,Licenciatura en Gestión de Tecnología Informática,7,Inglés II,1° Año,2° Cuatrimestre
